Date,Cases,Deaths,Hospitalisations,Cases_diff,Deaths_diff
2021-06-07,476514.0,11436.0,129.0,2030.0,25.0
2021-06-08,479005.0,11481.0,107.0,2491.0,45.0
2021-06-09,484116.0,11519.0,184.0,5111.0,38.0
2021-06-10,489711.0,11573.0,176.0,5595.0,54.0
2021-06-11,494537.0,11610.0,222.0,4826.0,37.0
2021-06-12,500426.0,11648.0,141.0,5889.0,38.0
2021-06-13,505322.0,11673.0,132.0,4896.0,25.0
2021-06-14,509053.0,11720.0,175.0,3731.0,47.0
2021-06-15,514486.0,11793.0,252.0,5433.0,73.0
2021-06-16,522366.0,11861.0,233.0,7880.0,68.0
2021-06-17,529873.0,11919.0,215.0,7507.0,58.0
2021-06-18,536848.0,11981.0,291.0,6975.0,62.0
2021-06-19,545262.0,12079.0,175.0,8414.0,98.0
2021-06-20,553908.0,12114.0,159.0,8646.0,35.0
2021-06-21,560202.0,12170.0,194.0,6294.0,56.0
2021-06-22,567681.0,12320.0,361.0,7479.0,150.0
2021-06-23,578488.0,12382.0,336.0,10807.0,62.0
2021-06-24,588009.0,12434.0,350.0,9521.0,52.0
2021-06-25,599791.0,12482.0,364.0,11782.0,48.0
2021-06-26,611095.0,12554.0,302.0,11304.0,72.0
2021-06-27,620956.0,12601.0,245.0,9861.0,47.0
2021-06-28,629399.0,12647.0,288.0,8443.0,46.0
2021-06-29,638326.0,12769.0,398.0,8927.0,122.0
2021-06-30,649494.0,12887.0,390.0,11168.0,118.0
2021-07-01,662300.0,13094.0,397.0,12806.0,207.0
2021-07-02,676524.0,13210.0,372.0,14224.0,116.0
2021-07-03,692626.0,13316.0,335.0,16102.0,106.0
2021-07-04,702083.0,13466.0,238.0,9457.0,150.0
2021-07-05,709628.0,13603.0,332.0,7545.0,137.0
2021-07-06,718846.0,13770.0,404.0,9218.0,167.0
2021-07-07,729417.0,13948.0,416.0,10571.0,178.0
2021-07-08,741174.0,14133.0,343.0,11757.0,185.0
2021-07-09,752883.0,14247.0,417.0,11709.0,114.0
2021-07-10,763653.0,14377.0,316.0,10770.0,130.0
2021-07-11,772200.0,14465.0,258.0,8547.0,88.0
2021-07-12,777832.0,14580.0,269.0,5632.0,115.0
2021-07-13,784149.0,14688.0,284.0,6317.0,108.0
2021-07-14,792145.0,14867.0,381.0,7996.0,179.0
2021-07-15,799454.0,14991.0,326.0,7309.0,124.0
2021-07-16,805484.0,15199.0,316.0,6030.0,208.0
2021-07-17,811842.0,15311.0,264.0,6358.0,112.0
2021-07-18,816242.0,15391.0,200.0,4400.0,80.0
2021-07-19,818864.0,15482.0,241.0,2622.0,91.0
2021-07-20,822174.0,15605.0,365.0,3310.0,123.0
2021-07-21,827395.0,15762.0,344.0,5221.0,157.0
2021-07-22,832360.0,15903.0,285.0,4965.0,141.0
2021-07-23,836883.0,16012.0,271.0,4523.0,109.0
2021-07-24,840530.0,16107.0,167.0,3647.0,95.0
2021-07-25,843187.0,16262.0,135.0,2657.0,155.0
2021-07-26,844719.0,16436.0,155.0,1532.0,174.0
